,Rank,Earnings Yield,Return on Capital,Total
ORI.AX,52.0,0.13554627519305457,0.23081140350877194,130.0
ALL.AX,53.0,0.06359697593503436,0.9057880676758682,131.0
TGR.AX,54.0,0.2815607741206097,0.12059329787773371,132.0
WES.AX,55.0,0.07736682625766643,0.587390263367917,133.0
CCL.AX,56.0,0.14290688623600706,0.20043191136427654,135.0
CKF.AX,57.0,0.08017462157447822,0.47206796344317625,137.0
JIN.AX,58.0,0.0677303033280202,0.6553970571717399,138.0
SPK.AX,59.0,0.0852501084706142,0.3924050632911392,141.0
TNE.AX,60.0,0.03343577704739119,17.140574389980564,141.0
PMV.AX,61.0,0.08547025983644932,0.3681166617852428,144.0
RWC.AX,62.0,0.09040958743339399,0.28147986815931236,145.0
WHC.AX,63.0,0.2900815005428372,0.08320312124576257,148.0
INA.AX,64.0,0.03475499425724624,2.5179105319569017,150.0
IPL.AX,65.0,0.20722797881901917,0.10776408069947786,150.0
IRE.AX,66.0,0.048307520825535265,0.8713594457376418,151.0
NHC.AX,67.0,0.2438571405495766,0.09981626369635015,151.0
BHP.AX,68.0,0.1015012863165243,0.21556749920961113,153.0
SBM.AX,69.0,0.14976511219618172,0.12434147206830148,154.0
TPM.AX,70.0,0.054834887343795595,0.6842574698974283,154.0
IPH.AX,71.0,0.05279783223498827,0.6916211675766485,155.0
RHC.AX,72.0,0.0904645507882892,0.23653002402802883,155.0
A2M.AX,73.0,0.03747506817097767,0.971634698283044,156.0
DHG.AX,74.0,0.034131600828412885,1.230016964374813,158.0
VEA.AX,75.0,0.30584183793154335,0.04693549198049173,159.0
CWN.AX,76.0,0.11962399162103618,0.14723201141990452,160.0
TLS.AX,77.0,0.10239881204981516,0.19335723533512597,160.0
DMP.AX,78.0,0.037643162533246524,0.7469143745840794,161.0
COH.AX,79.0,0.03576839893408205,0.934841628959276,162.0
WSA.AX,80.0,0.14906971432875765,0.10702957649602043,162.0
IEL.AX,81.0,0.02992344057322336,1.8338991447262978,163.0
STO.AX,82.0,0.15414579468183373,0.09607082754078876,166.0
ORA.AX,83.0,0.14731887727677304,0.10448052264638487,167.0
WOW.AX,84.0,0.0686593692402636,0.32096706961233845,167.0
BKW.AX,85.0,0.09048864606605427,0.19311215615848396,168.0
IGO.AX,86.0,0.10997574146869182,0.1384957501698403,169.0
PRN.AX,87.0,0.22679034863582936,0.05901408390696697,169.0
SDF.AX,88.0,0.021221273202691453,1.4886527583758902,170.0
ALU.AX,89.0,0.02296992596047379,0.9604545860449097,174.0
ANN.AX,90.0,0.07978911046983321,0.22369367610098226,175.0
HLS.AX,91.0,0.055269361342316296,0.3771306818181818,179.0
IVC.AX,92.0,0.08180190320644397,0.19410217634295482,179.0
ARB.AX,93.0,0.06900421851346941,0.2402129688493325,180.0
BRG.AX,94.0,0.04313358852991002,0.4576407993880768,182.0
ORE.AX,95.0,0.16767053427591694,0.024100057429524563,184.0
WTC.AX,96.0,0.021101285486314927,0.7289119911862262,185.0
RIO.AX,97.0,0.08160345116444594,0.1836191974822974,186.0
AZJ.AX,98.0,0.09278845111669345,0.11851238081514039,187.0
LLC.AX,99.0,-0.4965265907523671,71.47647058823529,187.0
SVW.AX,100.0,0.07882539207994582,0.19270066479275422,188.0
BLD.AX,101.0,0.10140806963098911,0.105,189.0
BVS.AX,102.0,0.06116325980755412,0.2448334374291826,189.0
HUB.AX,103.0,0.021223122082397697,0.6442721710965966,190.0
RMD.AX,104.0,0.02055320998294438,0.6761500150997866,192.0
PME.AX,105.0,0.00982678459522561,0.7028716346030689,196.0
